Delivery,m.s,E.J
Throwing,20.44,55.04
Throwing,18.91,47.12
Throwing,17.17,38.85
Throwing,16.89,37.57
Throwing,14.96,29.48
Throwing,12.99,22.24
Throwing,15.81,32.92
Throwing,17.97,42.54
Throwing,19.55,50.38
Throwing,9.58,12.08
Throwing,9.34,11.49
Throwing,9.59,12.12
Throwing,9.56,12.05
Thrusting,1.1,12.1
Throwing,18.4,0.01
Throwing,18.6,44.86
Throwing,20.6,45.84
Throwing,20.3,56.23
Thrusting,0.8,19.2
Throwing,13.6,0.02
Throwing,15.5,24.51
Throwing,13.7,31.83
Throwing,13.4,24.87
Throwing,15,23.79
Throwing,12.7,29.81
Throwing,17.3,21.37
Throwing,21.2,39.66
Throwing,25.9,59.55
Throwing,23.3,88.88
Thrusting,0.9,4.05
Thrusting,1.8,16.2
Thrusting,1.8,16.2
Thrusting,1.8,16.2
Throwing,25.8,0.02
Throwing,28.8,88.2
Throwing,16.5,109.9
Thrusting,2.5,31.25
Thrusting,2.3,26.45
Thrusting,2.51,31.5
Thrusting,2.51,31.5
Thrusting,2.53,32
Thrusting,2.52,31.75
Thrusting,2.58,33.28
Thrusting,2.2,24.2
Thrusting,2.7,36.45
Thrusting,2.8,39.2
Thrusting,1.9,18.05
Thrusting,1.85,17.11
Thrusting,1.91,18.24
Thrusting,1.83,16.74
Thrusting,1.96,19.21
Thrusting,1.91,18.24
Thrusting,1.98,19.6
Throwing,15.4,31.42
Throwing,15.8,33.08
Throwing,15.8,33.08
Throwing,16,33.92
Throwing,15.7,32.66
Throwing,15.7,32.66
Throwing,15.4,31.42
Throwing,15.6,32.25
Throwing,16,33.92
Throwing,16,33.92
Throwing,15.8,33.08
Throwing,15.8,33.08
Throwing,15.6,32.25
Throwing,15.6,32.25
Throwing,15.9,33.5
Throwing,15.6,32.25
Throwing,15.6,32.25
Throwing,15.6,32.25
Throwing,15.6,32.25
Throwing,15.5,31.83
Throwing,15.5,31.83
Throwing,15.5,31.83
Throwing,15.7,32.66
Throwing,15.6,32.25
Throwing,15.5,31.83
Throwing,25.8,88.2
Throwing,26.2,90.95
Throwing,15.5,0.09
Throwing,26,89.57
Throwing,15.7,0.09
Throwing,15.5,32.66
Throwing,15.6,31.83
Throwing,15.6,32.25
Throwing,15.4,32.25
Throwing,15.6,31.42
Throwing,15.5,32.25
Throwing,15.5,31.83
Throwing,15.5,31.83
Throwing,15.6,31.83
Throwing,15.3,32.25
Throwing,15.6,31.02
Throwing,26.4,92.35
Throwing,15.5,0.1
Throwing,21.8,62.97
Throwing,21.6,61.82
Throwing,21.8,62.97
Throwing,21.5,61.25
Throwing,21.7,62.39
